Strike,Ticker,Bid,Ask,Last,IVM,Volm,Strike,Ticker,Bid,Ask,Last,IVM,Volm
6075,SPX 1/15/27 C6075,1245.399902,1251.5,0,21.79748535,0,6075,SPX 1/15/27 P6075,186.8000031,188.8000031,187.3200073,21.97849083,0
6100,SPX 1/15/27 C6100,1222.899902,1234,1175.880005,21.68507004,0,6100,SPX 1/15/27 P6100,191,192.6999969,188.1999969,21.85917091,0
6125,SPX 1/15/27 C6125,1205.300049,1211.300049,1033.160034,21.56082344,0,6125,SPX 1/15/27 P6125,194.6999969,196.6999969,194.1999969,21.72572708,0
6150,SPX 1/15/27 C6150,1186,1190.5,1080.5,21.43750572,0,6150,SPX 1/15/27 P6150,199,200.8000031,200.6399994,21.60579681,0
6175,SPX 1/15/27 C6175,1165.5,1171.300049,1121.219971,21.3199234,0,6175,SPX 1/15/27 P6175,203,205,208.3399963,21.47684097,0
6200,SPX 1/15/27 C6200,1146.300049,1150.800049,1110.920044,21.19810486,0,6200,SPX 1/15/27 P6200,207.3999939,209.1999969,208.1399994,21.3535862,0
6225,SPX 1/15/27 C6225,1126,1131.800049,1101.569946,21.08169365,0,6225,SPX 1/15/27 P6225,211.5,213.6000061,228.1999969,21.2238369,0
6250,SPX 1/15/27 C6250,1104,1113.800049,1070.630005,20.94441795,0,6250,SPX 1/15/27 P6250,216.1000061,217.8999939,232.6300049,21.09952736,0
6275,SPX 1/15/27 C6275,1086.800049,1092.5,1051.109985,20.83834267,0,6275,SPX 1/15/27 P6275,220.3000031,222.5,235.9199982,20.96874237,0
6300,SPX 1/15/27 C6300,1067.899902,1072.099854,1067.219971,20.70916939,0,6300,SPX 1/15/27 P6300,225.1000061,227,236.8200073,20.84545135,0
6325,SPX 1/15/27 C6325,1048,1053.399902,1009.429993,20.5918808,0,6325,SPX 1/15/27 P6325,229.5,231.6999969,245.5700073,20.71336746,0
6350,SPX 1/15/27 C6350,1029.199951,1033.399902,960.1199951,20.46565437,0,6350,SPX 1/15/27 P6350,234.3999939,236.1999969,249.2700043,20.58397293,0
6375,SPX 1/15/27 C6375,1009.900146,1013.399902,971.8300171,20.32400322,0,6375,SPX 1/15/27 P6375,239,241.3000031,253.9499969,20.45709419,0
6400,SPX 1/15/27 C6400,991,994.1999512,943.1300049,20.20491028,0,6400,SPX 1/15/27 P6400,244.1000061,246,259.7200012,20.32815361,0
6425,SPX 1/15/27 C6425,972,975.3000488,881.539978,20.0857048,0,6425,SPX 1/15/27 P6425,248.8000031,251.1999969,266.2399902,20.1971302,0
6450,SPX 1/15/27 C6450,953,956.1999512,910.7299805,19.95763779,0,6450,SPX 1/15/27 P6450,254.1999969,256.1999512,272.2999878,20.07264328,0
6475,SPX 1/15/27 C6475,933.7998047,937.3999023,891.4000244,19.82731628,0,6475,SPX 1/15/27 P6475,259.1000977,261.3999023,256.1099854,19.93729019,0
6500,SPX 1/15/27 C6500,915.5,918.6999512,876.6699829,19.71382523,0,6500,SPX 1/15/27 P6500,264.5998535,266.5998535,282.6499939,19.81035995,0
6525,SPX 1/15/27 C6525,896.8000488,900,810.7800293,19.58715057,0,6525,SPX 1/15/27 P6525,269.6999512,271.8999023,286.3200073,19.67264557,0
6550,SPX 1/15/27 C6550,878.1000977,881.4001465,838.5,19.45798874,0,6550,SPX 1/15/27 P6550,275.3999023,277.3999023,297.25,19.54720879,0
6575,SPX 1/15/27 C6575,859.3000488,862.7998047,717.3099976,19.33454514,0,6575,SPX 1/15/27 P6575,280.5998535,283.2998047,302.2999878,19.41507721,0
6600,SPX 1/15/27 C6600,841.3000488,844.6000977,795.9299927,19.20492172,0,6600,SPX 1/15/27 P6600,286.5998535,288.7998047,302.5100098,19.2852993,0
6625,SPX 1/15/27 C6625,823.1000977,826.3000488,811.8499756,19.07594872,0,6625,SPX 1/15/27 P6625,292.0998535,294.6999512,314.6000061,19.14784813,0
6650,SPX 1/15/27 C6650,804.6999512,808.1000977,748.0100098,18.94050026,0,6650,SPX 1/15/27 P6650,298.1999512,300.5,316.7200012,19.01614761,0
6675,SPX 1/15/27 C6675,786.8000488,790.1000977,793.710022,18.82721329,0,6675,SPX 1/15/27 P6675,304,306.5998535,322.6900024,18.89259148,0
6700,SPX 1/15/27 C6700,768.9001465,772.1000977,725.9400024,18.69655991,0,6700,SPX 1/15/27 P6700,310.3000488,312.5998535,337,18.75978661,0
6725,SPX 1/15/27 C6725,751,754.3000488,759.0599976,18.5650959,0,6725,SPX 1/15/27 P6725,316.1999512,318.8999023,315.7000122,18.62032318,0
6750,SPX 1/15/27 C6750,733.3000488,736.6000977,739.6500244,18.43465614,0,6750,SPX 1/15/27 P6750,322.7998047,325,345.730011,18.48592949,0
6775,SPX 1/15/27 C6775,715.6999512,719,640.1699829,18.30314445,0,6775,SPX 1/15/27 P6775,329,331.6999512,328.2200012,18.35053444,0
6800,SPX 1/15/27 C6800,698.3999023,701.3999023,662.2000122,18.17237282,0,6800,SPX 1/15/27 P6800,335.7998047,338.0998535,358.7799988,18.21593666,0
6825,SPX 1/15/27 C6825,680.6999512,684.1000977,689.0300293,18.03458786,0,6825,SPX 1/15/27 P6825,342.3000488,345,366.8399963,18.08010292,0
6850,SPX 1/15/27 C6850,663.8000488,666.9001465,672.6900024,17.90867424,0,6850,SPX 1/15/27 P6850,349.3999023,351.6999512,353.5899963,17.94667625,0
6875,SPX 1/15/27 C6875,646.6000977,649.9001465,631.75,17.77551079,0,6875,SPX 1/15/27 P6875,356.1999512,358.8999023,375.5,17.81173325,0
6900,SPX 1/15/27 C6900,629.9001465,633,597.7999878,17.64814186,0,6900,SPX 1/15/27 P6900,363.6000977,365.8999023,379.8999939,17.67889786,0
6925,SPX 1/15/27 C6925,613.0998535,616.1999512,575.1799927,17.51891899,0,6925,SPX 1/15/27 P6925,370.6000977,373,398.9100037,17.53500557,0
6950,SPX 1/15/27 C6950,596.6000977,599.5998535,590.710022,17.38591385,0,6950,SPX 1/15/27 P6950,378.6000977,380.3999023,380,17.40963364,1
6975,SPX 1/15/27 C6975,580.1999512,583.1999512,543.1599731,17.25637627,0,6975,SPX 1/15/27 P6975,385.6999512,388.5,414.8900146,17.27481079,0
7000,SPX 1/15/27 C7000,563.9001465,567,533.3499756,17.12700272,0,7000,SPX 1/15/27 P7000,393.6999512,396.0998535,416.8999939,17.14206123,0
7025,SPX 1/15/27 C7025,547.7998047,550.8999023,541.4000244,16.99146652,0,7025,SPX 1/15/27 P7025,401.5,403.8999023,404,16.99770355,0
7050,SPX 1/15/27 C7050,532,535,525.4000244,16.87001228,0,7050,SPX 1/15/27 P7050,409.7998047,412.1999512,433.7999878,16.87656021,0
7075,SPX 1/15/27 C7075,516.1999512,519.2998047,484.1600037,16.74447441,0,7075,SPX 1/15/27 P7075,418,420.7998047,453.5400085,16.75134659,0
7100,SPX 1/15/27 C7100,500.8000488,503.6999512,470.2399902,16.60764694,0,7100,SPX 1/15/27 P7100,426.5998535,429.0998535,426.3099976,16.60759163,0
7125,SPX 1/15/27 C7125,485.3999023,488.5,486.3200073,16.48298645,0,7125,SPX 1/15/27 P7125,435.1999512,438.0998535,460.75,16.48146248,0
7150,SPX 1/15/27 C7150,470.2998047,473.1999512,464.2600098,16.35421944,0,7150,SPX 1/15/27 P7150,444.1999512,446.6999512,452.1900024,16.34763718,0
7175,SPX 1/15/27 C7175,455.3999023,458.3999023,431.519989,16.23034668,0,7175,SPX 1/15/27 P7175,453.3000488,455.5998535,478.1600037,16.21332932,0
7200,SPX 1/15/27 C7200,440.6999512,443.5,419.4899902,16.10055733,0,7200,SPX 1/15/27 P7200,462.6000977,465.1999512,482.7099915,16.0874939,0
7225,SPX 1/15/27 C7225,426.1999512,429.1999512,404.730011,15.97739697,0,7225,SPX 1/15/27 P7225,472.1999512,474.5,469.7000122,15.95395088,0
7250,SPX 1/15/27 C7250,412,414.6999512,383.8999939,15.86097336,0,7250,SPX 1/15/27 P7250,482,484.5998535,493.2000122,15.84325409,0
7275,SPX 1/15/27 C7275,397.8999023,400.8999023,393.9100037,15.73847485,0,7275,SPX 1/15/27 P7275,492,494.7998047,521.1099854,15.71754551,0
7300,SPX 1/15/27 C7300,384.1999512,386.8999023,394.9700012,15.61183834,0,7300,SPX 1/15/27 P7300,502.1999512,504.5,531.4699707,15.57879639,0
7325,SPX 1/15/27 C7325,370.6000977,373.5,348.1000061,15.48996544,0,7325,SPX 1/15/27 P7325,512.6999512,515.5998535,551.1699829,15.46262074,0
7350,SPX 1/15/27 C7350,357.3999023,360,334.1000061,15.37837791,0,7350,SPX 1/15/27 P7350,523.4001465,525.6999512,566.289978,15.33715725,0
7375,SPX 1/15/27 C7375,344.1999512,347.0998535,322.2999878,15.25782967,0,7375,SPX 1/15/27 P7375,534.4001465,537.2998047,564.7999878,15.22389698,0
7400,SPX 1/15/27 C7400,331.6000977,334.1999512,310.2999878,15.14354038,0,7400,SPX 1/15/27 P7400,545.6999512,547.8999023,551.9500122,15.09372902,0
7425,SPX 1/15/27 C7425,319,321.8000488,299.2999878,15.03028774,0,7425,SPX 1/15/27 P7425,557,559.6999512,628.2000122,14.9770546,0
7450,SPX 1/15/27 C7450,306.8999023,309.3999023,287.6000061,14.91797161,0,7450,SPX 1/15/27 P7450,569,571.5,605.0300293,14.8648653,0
7475,SPX 1/15/27 C7475,294.6999512,297.5,289,14.80468178,0,7475,SPX 1/15/27 P7475,581,583.8999023,657.7000122,14.75528908,0
7500,SPX 1/15/27 C7500,283.3000488,285.8000488,260,14.70121765,0,7500,SPX 1/15/27 P7500,593.5,595.8999023,624.7299805,14.63915348,0
7525,SPX 1/15/27 C7525,271.6999512,274.3999023,268.2999878,14.59116077,0,7525,SPX 1/15/27 P7525,606,608.8999023,627.4000244,14.53273296,0
7550,SPX 1/15/27 C7550,260.8999023,263.3000488,236.8399963,14.49271774,0,7550,SPX 1/15/27 P7550,619.1000977,621.7998047,631.1900024,14.42688465,0
7575,SPX 1/15/27 C7575,249.8000031,252.3999939,230.1600037,14.38380718,0,7575,SPX 1/15/27 P7575,632.1000977,634.8999023,686.4000244,14.31409645,0
7600,SPX 1/15/27 C7600,239.6999969,241.8999939,218.3000031,14.29213715,0,7600,SPX 1/15/27 P7600,645.8000488,648.7998047,683.75,14.22034073,0
7625,SPX 1/15/27 C7625,229.1999969,231.6999969,209.6999969,14.18976021,0,7625,SPX 1/15/27 P7625,659.5,662.6000977,671.2700195,14.11579132,0
7650,SPX 1/15/27 C7650,219.6000061,221.6999969,200,14.09918499,0,7650,SPX 1/15/27 P7650,673.5,676.9001465,725.5100098,14.02679348,0
7675,SPX 1/15/27 C7675,209.8000031,212.1000061,198.2100067,14.00340843,0,7675,SPX 1/15/27 P7675,687.9001465,691.1999512,742.3200073,13.91712189,0
7700,SPX 1/15/27 C7700,200.8999939,202.8000031,182.8999939,13.92169666,0,7700,SPX 1/15/27 P7700,702.6999512,706.1000977,800,13.83675575,0
7725,SPX 1/15/27 C7725,191.6000061,193.8000031,195.3800049,13.82885456,0,7725,SPX 1/15/27 P7725,717.6999512,720.9001465,0,13.72944546,0
7750,SPX 1/15/27 C7750,183.3000031,185.1000061,180.8000031,13.75240326,0,7750,SPX 1/15/27 P7750,733.4001465,736.6999512,822.1799927,13.65611839,0
7775,SPX 1/15/27 C7775,174.6999969,176.6999969,158.6999969,13.66669559,0,7775,SPX 1/15/27 P7775,748.6999512,752,0,13.55529308,0
7800,SPX 1/15/27 C7800,166.8999939,168.6000061,153.5599976,13.5939064,0,7800,SPX 1/15/27 P7800,764.8000488,768,774.2600098,13.48131561,0
7825,SPX 1/15/27 C7825,158.8999939,160.8000031,156.9499969,13.51381493,0,7825,SPX 1/15/27 P7825,781,784.1999512,0,13.39154816,0
7850,SPX 1/15/27 C7850,151.3999939,153.3000031,138.7599945,13.44090366,0,7850,SPX 1/15/27 P7850,797.9001465,801.1999512,852.2600098,13.32981873,0
7875,SPX 1/15/27 C7875,144.3000031,146.1000061,150.6000061,13.37339592,0,7875,SPX 1/15/27 P7875,814.4001465,817.6000977,833.8099976,13.23716736,0
7900,SPX 1/15/27 C7900,137.6999969,139.1999969,125.6100006,13.31385803,0,7900,SPX 1/15/27 P7900,831.9001465,835.1999512,845.3800049,13.18226051,0
7950,SPX 1/15/27 C7950,124.6999969,126.1999969,123.5500031,13.18888474,0,7950,SPX 1/15/27 P7950,866.6999512,871.1999512,0,13.05776405,0
8000,SPX 1/15/27 C8000,112.8000031,114.3000031,101.1999969,13.07642078,0,8000,SPX 1/15/27 P8000,903,907.5,926.3099976,12.93911076,0
8050,SPX 1/15/27 C8050,101.5999908,103.3000031,100.3300018,12.96539116,0,8050,SPX 1/15/27 P8050,936.8999023,946.6999512,944.5900269,12.78178787,0
8100,SPX 1/15/27 C8100,92,93.30000305,91.68000031,12.88360596,0,8100,SPX 1/15/27 P8100,974.7998047,984.8999023,999.6300049,12.66880322,0
8150,SPX 1/15/27 C8150,82.8999939,84.19999695,75,12.78887558,0,8150,SPX 1/15/27 P8150,1017,1022,0,12.60003281,0
8200,SPX 1/15/27 C8200,74.59999084,75.8999939,66.69999695,12.71326923,0,8200,SPX 1/15/27 P8200,1056.5,1061.800049,1094.569946,12.49002838,0
8300,SPX 1/15/27 C8300,60.29998779,61.30000305,54.47000122,12.5777626,0,8300,SPX 1/15/27 P8300,1138.199951,1143.699951,0,12.30982304,0
8400,SPX 1/15/27 C8400,48.3999939,49.5,43.20000076,12.46603203,0,8400,SPX 1/15/27 P8400,1222.5,1228.199951,1327.040039,12.11022282,0
8500,SPX 1/15/27 C8500,38.79999924,39.90000916,38.90999985,12.38090897,0,8500,SPX 1/15/27 P8500,1309.300049,1315,1363.959961,11.99244308,0
8600,SPX 1/15/27 C8600,31,32.19999695,34.59999847,12.31779099,0,8600,SPX 1/15/27 P8600,1397.400146,1403.5,1453.26001,11.83019543,0
8700,SPX 1/15/27 C8700,24.89999962,25.8999939,27.77000046,12.27844524,0,8700,SPX 1/15/27 P8700,1487.300049,1493.599854,0,11.68952847,0
